"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"    Estimate","31,872"
"Highlands Ranch CDP, Colorado",""
"    Estimate","57,187"
"Ken Caryl CDP, Colorado",""
"    Estimate","53,932"
"Lafayette city, Colorado",""
"    Estimate","47,837"
"Lakewood city, Colorado",""
"    Estimate","45,305"
"Littleton city, Colorado",""
"    Estimate","46,823"
"Longmont city, Colorado",""
"    Estimate","37,298"
"Loveland city, Colorado",""
"    Estimate","40,213"
"Montrose city, Colorado",""
"    Estimate","34,060"
"Northglenn city, Colorado",""
"    Estimate","32,624"
"Parker town, Colorado",""
"    Estimate","51,950"
"Pueblo city, Colorado",""
"    Estimate","30,144"
"Pueblo West CDP, Colorado",""
"    Estimate","37,842"
"Security-Widefield CDP, Colorado",""
"    Estimate","35,783"
"Sherrelwood CDP, Colorado",""
"    Estimate","32,053"
"Thornton city, Colorado",""
"    Estimate","41,071"
"Westminster city, Colorado",""
"    Estimate","43,797"
"Wheat Ridge city, Colorado",""
"    Estimate","41,931"
"Windsor town, Colorado",""
"    Estimate","44,993"
"Bridgeport city, Connecticut",""
"    Estimate","26,253"
"Bristol city, Connecticut",""
"    Estimate","44,054"
"Danbury city, Connecticut",""
"    Estimate","37,731"
"Darien CDP, Connecticut",""
"    Estimate","102,363"
"East Hartford CDP, Connecticut",""
"    Estimate","32,078"
"East Haven CDP, Connecticut",""
"    Estimate","40,922"
"Hartford city, Connecticut",""
"    Estimate","27,335"
"Manchester CDP, Connecticut",""
"    Estimate","38,957"
"Meriden city, Connecticut",""
"    Estimate","35,579"
"Middletown city, Connecticut",""
"    Estimate","32,166"
"Milford city (balance), Connecticut",""
"    Estimate","52,091"
"Naugatuck borough, Connecticut",""
"    Estimate","41,175"
"New Britain city, Connecticut",""
"    Estimate","32,348"
"New Haven city, Connecticut",""
"    Estimate","27,297"
"Newington CDP, Connecticut",""
"    Estimate","48,331"
"New London city, Connecticut",""
"    Estimate","26,735"
"North Haven CDP, Connecticut",""
"    Estimate","53,492"
"Norwalk city, Connecticut",""
"    Estimate","50,237"
"Norwich city, Connecticut",""
"    Estimate","35,134"
"Shelton city, Connecticut",""
"    Estimate","52,122"
"Stamford city, Connecticut",""
"    Estimate","50,272"
"Stratford CDP, Connecticut",""
"    Estimate","41,163"
"Torrington city, Connecticut",""
"    Estimate","34,080"
"Trumbull CDP, Connecticut",""
"    Estimate","51,234"
"Waterbury city, Connecticut",""
"    Estimate","31,985"
"West Hartford CDP, Connecticut",""
"    Estimate","61,768"
"West Haven city, Connecticut",""
"    Estimate","40,457"
"Westport CDP, Connecticut",""
"    Estimate","81,106"
"Wethersfield CDP, Connecticut",""
"    Estimate","50,306"
"Bear CDP, Delaware",""
"    Estimate","41,464"
"Dover city, Delaware",""
"    Estimate","25,014"
"Middletown town, Delaware",""
"    Estimate","56,612"
"Newark city, Delaware",""
"    Estimate","12,212"
"Wilmington city, Delaware",""
"    Estimate","35,529"
"Washington city, District of Columbia",""
"    Estimate","61,960"
"Alafaya CDP, Florida",""
"    Estimate","38,282"
"Altamonte Springs city, Florida",""
"    Estimate","31,275"
"Apollo Beach CDP, Florida",""
"    Estimate","46,792"
"Apopka city, Florida",""
"    Estimate","36,969"
"Aventura city, Florida",""
"    Estimate","42,328"
"Bartow city, Florida",""
"    Estimate","31,576"
"Bayonet Point CDP, Florida",""
"    Estimate","35,033"
