"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"Oildale CDP, California","","",""
"    Estimate","33,946","3,303","7,031"
"Ontario city, California","","",""
"    Estimate","182,679","9,116","12,418"
"Orange city, California","","",""
"    Estimate","131,410","4,504","7,560"
"Orangevale CDP, California","","",""
"    Estimate","33,893","624","1,151"
"Orcutt CDP, California","","",""
"    Estimate","31,488","1,009","1,026"
"Oxnard city, California","","",""
"    Estimate","206,506","7,800","16,270"
"Pacifica city, California","","",""
"    Estimate","38,197","1,032","1,537"
"Palmdale city, California","","",""
"    Estimate","154,241","7,004","13,762"
"Palm Desert city, California","","",""
"    Estimate","52,707","3,168","3,391"
"Palm Springs city, California","","",""
"    Estimate","48,261","5,617","2,368"
"Palo Alto city, California","","",""
"    Estimate","64,843","1,115","1,360"
"Paramount city, California","","",""
"    Estimate","53,479","3,858","4,852"
"Pasadena city, California","","",""
"    Estimate","137,779","8,800","6,288"
"Patterson city, California","","",""
"    Estimate","","",""
"Perris city, California","","",""
"    Estimate","78,830","1,425","5,381"
"Petaluma city, California","","",""
"    Estimate","60,032","1,563","1,303"
"Pico Rivera city, California","","",""
"    Estimate","60,556","2,344","2,745"
"Pinole city, California","","",""
"    Estimate","21,523","349","460"
"Pittsburg city, California","","",""
"    Estimate","71,735","3,582","4,866"
"Placentia city, California","","",""
"    Estimate","51,092","1,640","1,473"
"Pleasant Hill city, California","","",""
"    Estimate","34,349","1,483","782"
"Pleasanton city, California","","",""
"    Estimate","81,396","1,982","1,965"
"Pomona city, California","","",""
"    Estimate","147,130","10,109","9,090"
"Porterville city, California","","",""
"    Estimate","58,793","2,450","10,899"
"Port Hueneme city, California","","",""
"    Estimate","25,146","954","1,790"
"Poway city, California","","",""
"    Estimate","48,889","1,122","841"
"Ramona CDP, California","","",""
"    Estimate","24,872","157","711"
"Rancho Cordova city, California","","",""
"    Estimate","74,565","5,129","5,837"
"Rancho Cucamonga city, California","","",""
"    Estimate","173,526","5,333","7,704"
"Rancho Palos Verdes city, California","","",""
"    Estimate","41,220","1,112","379"
"Rancho San Diego CDP, California","","",""
"    Estimate","","",""
"Rancho Santa Margarita city, California","","",""
"    Estimate","47,765","237","486"
"Red Bluff city, California","","",""
"    Estimate","20,538","5,231","1,332"
"Redding city, California","","",""
